Using configfile tools/sidid/sidid.cfg
--- SIDId engine classification for HVSC #85 (hvsc85/).
--- generator: tools/sidid (upstream cadaver/sidid @ ee92b8d96d9dda6d06d24674740577ddcbfe4f79 2026-07-14), SIDId V1.09,
---   PATCHED to not truncate paths at 56 chars -- see tools/sidid_no_truncate.patch.
DEMOS/A-F/Another_Visitor.sid                            SidTracker64
DEMOS/A-F/Anti-BOGG_Tune.sid                             Electrosound
DEMOS/A-F/Antictxt.sid                                   DMC
DEMOS/A-F/Aphelocoma.sid                                 GoatTracker_V2.x
DEMOS/A-F/April_Ranking.sid                              MoN/FutureComposer
DEMOS/A-F/Aristillus.sid                                 GoatTracker_V2.x
DEMOS/A-F/Armageddon_Intro.sid                           DMC
DEMOS/A-F/Arrival_of_the_Queen_of_Sheba.sid              Master_Composer
DEMOS/A-F/Arrival_of_the_Queen_of_Sheba_BASIC.sid        Basic/Jim_Butterfield
DEMOS/A-F/Arsembly.sid                                   GoatTracker_V1.x
DEMOS/A-F/Art_and_Design_part_4.sid                      RoMuzak_V6.x
DEMOS/A-F/Ass_Penetrator.sid                             DMC
DEMOS/A-F/Assembly_2003_Memories.sid                     SidFactory_II/Laxity
DEMOS/A-F/Asynkro_Theme.sid                              GoatTracker_V1.x
DEMOS/A-F/At_War.sid                                     MoN/FutureComposer
DEMOS/A-F/Attack_of_th4_Shr3dd3r.sid                     DefleMask_v12
DEMOS/A-F/Auf_Wiedersehen_TRSAC.sid                      SidTracker64
DEMOS/A-F/Avalon.sid                                     Soundmonitor
DEMOS/A-F/Avenger.sid                                    CyberTracker_exe
DEMOS/A-F/Axel-F_Remix.sid                               Soundmonitor
DEMOS/A-F/Axel_F.sid                                     John_Player
DEMOS/A-F/Axel_F_Remix.sid                               DMC
DEMOS/A-F/Axel_F_TGI.sid                                 Soundmonitor
DEMOS/A-F/Aztec_Beat.sid                                 PollyTracker
DEMOS/A-F/BCC_10_Invitro.sid                             Hermit/SidWizard_V1.x
DEMOS/A-F/BM1K.sid                                       GoatTracker_V2.x
DEMOS/A-F/BMP2MC_2_12f_Release_Intro.sid                 Hermit/SidWizard_V1.x
DEMOS/A-F/BZT.sid                                        GoatTracker_V2.x
DEMOS/A-F/Baby_Elephant_Walk_BASIC.sid                   Basic_Program
DEMOS/A-F/Bach4Xmas.sid                                  SidFactory_II/Laxity
DEMOS/A-F/Bachs_Prelude_in_C_BASIC.sid                   Basic_Program
DEMOS/A-F/Back_to_Burn.sid                               Soundmonitor
DEMOS/A-F/Back_to_the_SID.sid                            SidTracker64
DEMOS/A-F/Bad.sid                                        Soundmonitor
DEMOS/A-F/Bad_Bagel.sid                                  Hermit/SidWizard_V1.x
DEMOS/A-F/Bad_Guys_Castle.sid                            Mssiah
DEMOS/A-F/Bad_Maxi_Mix.sid                               Soundmonitor
DEMOS/A-F/Bad_Pixels.sid                                 SidFactory_II/Laxity
DEMOS/A-F/Bakc.sid                                       Hermit/SidWizard_V1.x
DEMOS/A-F/Balju.sid                                      NinjaTracker_V2.x
DEMOS/A-F/Balju_V2.sid                                   DMC
DEMOS/A-F/Bandana.sid                                    Hermit/SidWizard_V1.x
DEMOS/A-F/Barbara.sid                                    Music_Assembler
DEMOS/A-F/Barbs_Boat_BASIC.sid                           Basic_Program
DEMOS/A-F/Barom11.sid                                    Music_Assembler
DEMOS/A-F/Baroque_Music_64_BASIC.sid                     Basic_Program
DEMOS/A-F/Basic_Music_2_BASIC.sid                        Basic_Program
DEMOS/A-F/Basic_Night_in_Freddys_Pizzeria.sid            Hermit/SidWizard_V1.x
DEMOS/A-F/Bass_Themes.sid                                GoatTracker_V2.x
DEMOS/A-F/Baster_Blaster.sid                             MoN/FutureComposer
DEMOS/A-F/Batpack.sid                                    SoedeSoft
DEMOS/A-F/Batt-Man_tune_1.sid                            JCH_NewPlayer
DEMOS/A-F/Batt-Man_tune_2.sid                            JCH_NewPlayer
DEMOS/A-F/Battle_Hymn_BASIC.sid                          Basic/Jim_Butterfield
DEMOS/A-F/Battle_Hymn_of_the_Republic_v1_BASIC.sid       Basic_Program
DEMOS/A-F/Battle_Hymn_of_the_Republic_v2_BASIC.sid       Basic_Program
DEMOS/A-F/Bavaria_is_not_Germany_Motherfucker.sid        GoatTracker_V2.x
DEMOS/A-F/Beat_Dis_BASIC.sid                             C64_Speech_System
DEMOS/A-F/Beautiful_Day.sid                              GoatTracker_V1.x
DEMOS/A-F/Beautiful_Power.sid                            DefleMask_v12
DEMOS/A-F/Bedlam_tune_2.sid                              Censor_Digi_1
DEMOS/A-F/BeepSync.sid                                   Geir_Tjelta/SIDDuzz'It
DEMOS/A-F/Beethoven_Sinfonia_No_5_BASIC.sid              Basic_Program
DEMOS/A-F/Beginning001.sid                               SidFactory_II/Laxity
DEMOS/A-F/Bend_the_Curve.sid                             SidTracker64
DEMOS/A-F/Berlin_Wall_tune_2.sid                         RoMuzak_V6.x
DEMOS/A-F/Berlin_Wall_tune_3.sid                         RoMuzak_V6.x
DEMOS/A-F/Beware_of_the_Leopard.sid                      Hermit/SidWizard_V1.x
DEMOS/A-F/Beyond_Tetris_the_Re-Mix.sid                   Soundmonitor
DEMOS/A-F/Bidemo_tune_3.sid                              Soundmonitor
DEMOS/A-F/Big_Boing.sid                                  Soundmonitor
DEMOS/A-F/Big_Fucking_Scroller_2000.sid                  John_Player
DEMOS/A-F/Big_Party.sid                                  Soundmonitor
DEMOS/A-F/Big_Red.sid                                    Soundmonitor
DEMOS/A-F/Birthday_Demo.sid                              GMC/Superiors
DEMOS/A-F/Bit_Shit.sid                                   Music_Assembler
DEMOS/A-F/Bitfrost.sid                                   SidFactory_II/Laxity
DEMOS/A-F/Black_Box_V8_Demo_BASIC.sid                    Basic_Program
DEMOS/A-F/Black_Hole_vs_Virus_Magazine_note.sid          DMC
DEMOS/A-F/Blaster.sid                                    GoatTracker_V2.x
DEMOS/A-F/Blasty_Pwn2own_Cracktro.sid                    SidFactory_II/Laxity
DEMOS/A-F/Block_n_Roll.sid                               Element114Studio_2.0
DEMOS/A-F/Bloodpit.sid                                   Music_Assembler
DEMOS/A-F/Blue_Gnerk.sid                                 Electrosound
DEMOS/A-F/Blue_Matter.sid                                FurC64
DEMOS/A-F/Blue_Monday.sid                                Rastelin/Bones
DEMOS/A-F/Blue_Monday_Nasty_Ounk.sid                     Soundmonitor
DEMOS/A-F/Blue_Monday_Roosta.sid                         Electrosound
DEMOS/A-F/Blues_Brothers.sid                             Soundmonitor
DEMOS/A-F/Blueseczka.sid                                 GoatTracker_V1.x
DEMOS/A-F/Bob_01.sid                                     MoN/FutureComposer
DEMOS/A-F/Bob_02.sid                                     MoN/FutureComposer
DEMOS/A-F/Bohemian_Rhapsody_part_1.sid                   Master_Composer
DEMOS/A-F/Bohemian_Rhapsody_part_2.sid                   Master_Composer
DEMOS/A-F/Boogie_Drugaine.sid                            GoatTracker_V2.x
