Using configfile tools/sidid/sidid.cfg
--- SIDId engine classification for HVSC #85 (hvsc85/).
--- generator: tools/sidid (upstream cadaver/sidid @ ee92b8d96d9dda6d06d24674740577ddcbfe4f79 2026-07-14), SIDId V1.09,
---   PATCHED to not truncate paths at 56 chars -- see tools/sidid_no_truncate.patch.
MUSICIANS/C/Crowley_Owen/Fast_Cube.sid                   GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Fast_Cube_alpha.sid             GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Fast_Jaguar_2SID.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Fast_Lane_2SID.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Firestarter_2SID.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Foggy_Nights.sid                GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/For_Opium.sid                   GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/For_doZe_1.sid                  GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/For_doZe_2.sid                  GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Funky_Nun_Dance.sid             GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Game_Over.sid                   MoN/FutureComposer
MUSICIANS/C/Crowley_Owen/Getting_Late.sid                RoMuzak_V6.x
MUSICIANS/C/Crowley_Owen/Half-Funk.sid                   GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Hoodlum_Cube.sid                GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Hooker_2SID.sid                 GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Huelsbeck_2SID.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Hunt_the_Distort.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/I_Love_the_Cube_Preview_tune_3.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/I_Love_the_Cube_tune_1.sid      GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/I_Love_the_Cube_tune_2.sid      GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Icony_2SID.sid                  GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Intrinsic.sid                   GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Intrinsic_v2.sid                GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Its_Ace.sid                     RoMuzak_V6.x
MUSICIANS/C/Crowley_Owen/JCHs_Ending.sid                 MoN/FutureComposer
MUSICIANS/C/Crowley_Owen/Junkie.sid                      GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Legend_Intro.sid                GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Little_Sound.sid                MoN/FutureComposer
MUSICIANS/C/Crowley_Owen/Lonely_Sample_2SID.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Love_and_Pain_2SID.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/MON_Modified.sid                MoN/FutureComposer
MUSICIANS/C/Crowley_Owen/Maniac_Mansion.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Mario_in_Space.sid              RoMuzak_V6.x
MUSICIANS/C/Crowley_Owen/Mega_Power_Man_2SID.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Midnight_Cruise_2SID.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Musix.sid                       RoMuzak_V6.x
MUSICIANS/C/Crowley_Owen/NEH_Promotion_Soundtrack_2SID.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Not_Even_Human.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Note_Songy_64.sid               MoN/FutureComposer
MUSICIANS/C/Crowley_Owen/OC0000000113.sid                Hermit/SidWizard_V1.x
MUSICIANS/C/Crowley_Owen/Pams_Tune.sid                   Electrosound
MUSICIANS/C/Crowley_Owen/Pokemonitor.sid                 GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Psychopunks_of_Uproar.sid       GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Quick_One.sid                   GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/RJs_3D_Tennis.sid               GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Razor_Crackzak_100.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Roy_G_Biv_2SID.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Rushed_Zak.sid                  GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Samples_Not_Included.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Seeing_Is_Believing.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Sensible_Soccer_Opening.sid     GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Shitty_Funk_2SID.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Short_Poppy_85.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Short_with_No_Lead.sid          Hermit/SidWizard_V1.x
MUSICIANS/C/Crowley_Owen/Sir_Ababol.sid                  GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Sleepless_Work.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Smo0oth_Crimin4l.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Sonder_Bar.sid                  GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Sounds_Like_Wolf.sid            RoMuzak_V6.x
MUSICIANS/C/Crowley_Owen/Space_Journey_2SID.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Stereo_of_11_2SID.sid           GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Stifflip_and_Hardco.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Swinging_in_2007.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Ten_Years_of_No_FC.sid          MoN/FutureComposer
MUSICIANS/C/Crowley_Owen/Tested_on_Pandas.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Trouble.sid                     GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/UWOL-Quest_for_Money.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Uninspired_Mind.sid             GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/25Hz.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/25Hz_II.sid           GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/ACDC_Rulez.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Airwolf.sid           GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Airwolf_Old_Version.sid SadoTracker
MUSICIANS/C/Crowley_Owen/Worktunes/Another_Test_Tune.sid CRD_Tracker
MUSICIANS/C/Crowley_Owen/Worktunes/Badger_Mushroom_Snake.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Barbarian_2.sid       GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Blue_Monday.sid       SadoTracker
MUSICIANS/C/Crowley_Owen/Worktunes/Breath.sid            CRD_Tracker
MUSICIANS/C/Crowley_Owen/Worktunes/City_Noises_early_version.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Cultromix.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Danger.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Dark_Drive.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Dialects_Remake.sid   GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Digi-Freak.sid        NinjaTracker_V1.x
MUSICIANS/C/Crowley_Owen/Worktunes/Digi_Test.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/DraXMas.sid           CRD_Tracker
MUSICIANS/C/Crowley_Owen/Worktunes/Drums.sid             GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Dump_Draxco_1x_speed_version.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Eighties.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Experiment_001.sid    GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Experiment_002.sid    GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Experiment_003.sid    GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Experiment_004.sid    GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Experiment_8x.sid     GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Farewell_My_Friend.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Fat_Beats.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Filter_Crap.sid       GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Fucnk.sid             GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/GhostTrackers_Remix.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Guitar_Test.sid       GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Half_Dead.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Halloween.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/High_Five.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/How_Funkee.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Hysteria_64.sid       GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/I_Miss_You.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Ibiza_Shite.sid       GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Illuminate.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Inspiration_Error.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Lamer_Gamers.sid      GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Loading.sid           GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Loneliness.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Love_Funk.sid         GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Mad_Ikari.sid         SadoTracker
MUSICIANS/C/Crowley_Owen/Worktunes/Menudriver_remake.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Midnight_on_the_A19.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/My_Funky_C64.sid      GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/NEH_old_version.sid   GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Never_Ending_Wars.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/New_Beginning.sid     GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Numbers_2SID.sid      GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_001.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_002.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_003.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_004.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_005.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_006.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_007.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_008.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_009.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_010.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_011.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_012.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_013.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_014.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_015.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_016.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_017.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_018.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_019.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_020.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_021.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_022.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_023.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_024.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_025.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_026.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_027.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_028.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_029.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_030.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_031.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_032.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_033.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_034.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_035.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_036.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_037.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_038.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_039.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_040.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_041.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_042.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_043.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_044.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_045.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_046.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_047.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_048.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_049.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_050.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_051.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_052.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_053.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_054.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_055.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_056.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_057.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_058.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_059.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_060.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_061.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_062.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_063.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_064_2SID.sid     GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_065_2SID.sid     GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Owen_066_2SID.sid     GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Phobos.sid            GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Sharon_Style.sid      GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Shit.sid              GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Sixty-four.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Soede.sid             GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Soede_x3.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Streetlights.sid      GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Supaplex.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Template.sid          GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Teroen_Jel.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Thunder_Jaws_remix.sid GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Tripple_Trouble.sid   GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Two-voice_Test.sid    GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Unstoppable.sid       GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/XO.sid                GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/X_T_C.sid             GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Worktunes/Yep.sid               GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Year_We_Make_Contact.sid        GoatTracker_V2.x
MUSICIANS/C/Crowley_Owen/Zak_McKracken.sid               GoatTracker_V2.x
MUSICIANS/C/Crowther_Antony/A_View_to_a_Kill_demo.sid    Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Another_One_Bites_the_Dust.sid Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Axelf.sid                    Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Baby_Demo_2.sid              Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Blue_Monday.sid              Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Bomb_Uzal.sid                Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Centurions_Power_X_Treme.sid Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Dead_Ringer.sid              Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Diagonal_Demo.sid            Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Example_1-Simple_Scale.sid   Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Example_2-Wobbler.sid        Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Example_3-Drums.sid          Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Example_4-Renaissance.sid    Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Fernandez_Must_Die.sid       Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/From_Ratt_to_You.sid         Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Gryphon.sid                  ?Alligata/Quicksilva
MUSICIANS/C/Crowther_Antony/I_Wanna_Dance.sid            Antony_Crowther_V2
MUSICIANS/C/Crowther_Antony/Killer_Watt.sid              ?Alligata/Quicksilva
MUSICIANS/C/Crowther_Antony/Monty_Mole.sid               Antony_Crowther_V1
MUSICIANS/C/Crowther_Antony/No_More_Booze.sid            Antony_Crowther_V1
MUSICIANS/C/Crowther_Antony/Phobia.sid                   Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/R1-D1_Unit_Attack.sid        Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Ratt_Demo_3.sid              Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Run_Like_Hell.sid            ?Alligata/Quicksilva
MUSICIANS/C/Crowther_Antony/Son_of_Blagger.sid           Antony_Crowther_V1
MUSICIANS/C/Crowther_Antony/Suicide_Express.sid          SoftwareAutomaticMouth
MUSICIANS/C/Crowther_Antony/Triaxos.sid                  Antony_Crowther_V3
MUSICIANS/C/Crowther_Antony/Zig_Zag.sid                  Antony_Crowther_V3
MUSICIANS/C/Cruz_Debby/A_Carnival_Walk.sid               Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Alouette.sid                      Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Babe.sid                          Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Battle_Cry_of_Freedom.sid         Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Battle_Hymn.sid                   Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Blue-Tail_Fly.sid                 Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Bluer_Pastures.sid                Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Cape_Cod_Boys.sid                 Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Clementine.sid                    Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Deck_the_Halls.sid                Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Dixies_Land.sid                   Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Down_in_the_Valley.sid            Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Dream.sid                         Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Erie_Canal.sid                    Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Flit.sid                          Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Funiculi_Funicula.sid             Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Goober_Peas.sid                   Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Green_Grow_the_Lilacs.sid         Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Jingle_Bells.sid                  Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Joy_to_the_World.sid              Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Leaving_Old_Texas.sid             Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Let_It_Roll.sid                   Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Manhattan_Rose.sid                Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Meadowlands.sid                   Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Muss_I_Denn.sid                   Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/O_Tannenbaum.sid                  Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Parting_Glass.sid                 Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Portrait.sid                      Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Sarasponda.sid                    Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Scarborough_Fair.sid              Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Shenandoah.sid                    Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Silent_Night.sid                  Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Skye_Boat_Song.sid                Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Storm.sid                         Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Stranger.sid                      Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Sweet_Betsy_from_Pike.sid         Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Tango.sid                         Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Tenting_Tonight.sid               Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Train_is_Coming.sid               Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Twelve_Days_of_Christmas.sid      Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/We_Three_Kings_of_Orient_Are.sid  Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/We_Wish_You_a_Merry_Chrstmas.sid  Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Weird.sid                         Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/When_Johnny_Comes_Marching.sid    Loadstar_SongSmith
MUSICIANS/C/Cruz_Debby/Yellow_Rose_of_Texas.sid          Loadstar_SongSmith
MUSICIANS/C/Cubaxd/An_Old_Era.sid                        GoatTracker_V2.x
MUSICIANS/C/Cubaxd/Blessyou.sid                          GoatTracker_V1.x
MUSICIANS/C/Cubaxd/Gute_Nacht.sid                        GoatTracker_V2.x
MUSICIANS/C/Cubaxd/Load_Error.sid                        GoatTracker_V1.x
MUSICIANS/C/Cubaxd/Melodic.sid                           GoatTracker_V1.x
MUSICIANS/C/Cubaxd/Sargtanz.sid                          GoatTracker_V1.x
MUSICIANS/C/Cube/Angel_Project.sid                       SynC
MUSICIANS/C/Cube/Glide.sid                               SynC
MUSICIANS/C/Cube/Martinology.sid                         DMC
MUSICIANS/C/Cube/Modulation.sid                          DMC
MUSICIANS/C/Cube/Molecules.sid                           SynC
MUSICIANS/C/Cube/Oldskool.sid                            DMC
MUSICIANS/C/Cubehead/20.sid                              DMC
MUSICIANS/C/Cubehead/3_Years_Later.sid                   DMC
MUSICIANS/C/Cubehead/Absolute.sid                        DMC
MUSICIANS/C/Cubehead/Absolute_FPP_Logo_and_Scrolls.sid   Music_Assembler
MUSICIANS/C/Cubehead/Absolute_tech-tech.sid              DMC
MUSICIANS/C/Cubehead/Absolute_the_introduction.sid       DMC
MUSICIANS/C/Cubehead/After_It_All.sid                    DMC
MUSICIANS/C/Cubehead/Again_and_Again.sid                 DMC
MUSICIANS/C/Cubehead/Axel_Springer.sid                   DMC
MUSICIANS/C/Cubehead/Ballad_of_the_Hard_and_Nice_Days.sid DMC
MUSICIANS/C/Cubehead/Ballisation_preview.sid             DMC
MUSICIANS/C/Cubehead/Candle.sid                          DMC
MUSICIANS/C/Cubehead/Chaotic_Country_19.sid              Music_Assembler
MUSICIANS/C/Cubehead/Chromance_Intro.sid                 DMC
MUSICIANS/C/Cubehead/Cubehead_02.sid                     DMC
MUSICIANS/C/Cubehead/D-Minor_Sonett.sid                  DMC
MUSICIANS/C/Cubehead/Da_Sad-Nessy.sid                    DMC
MUSICIANS/C/Cubehead/Das_Modell.sid                      DMC
MUSICIANS/C/Cubehead/Deprave_7_tune_5.sid                DMC
MUSICIANS/C/Cubehead/Desperate_Desire.sid                DMC
MUSICIANS/C/Cubehead/Doubtful_Hopes.sid                  DMC
